,original_title,overview,region_final,release_date,genre_final,cast_final,director
1396,Poltergeist,"Steve Freeling lives with his wife, Diane, and their three children, Dana, Robbie, and Carol Anne, in Southern California where he sells houses for the company that built the neighborhood. It starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. However, when he realizes that something truly evil haunts his home, Steve calls in a team of parapsychologists led by Dr. Lesh to help before it's too late.",United States of America,1982-06-04,Horror,"['Steve Freeling', 'Diane Freeling', 'Dr. Lesh', 'Carol Anne Freeling', 'Dana Freeling', 'Robbie Freeling', 'Tangina Barrons', 'Dr. Marty Casey', 'Mr. Teague', 'Pool Worker', 'Ryan', 'Pool Worker', 'Ben Tuthill', 'Mrs. Tuthill', 'Pugsley', 'Husband']",
1397,The Ladykillers,"An eccentric, if not charming Southern professor and his crew pose as a band in order to rob a casino, all under the nose of his unsuspecting landlord – a sharp old woman.",United States of America,2004-03-25,Comedy,"['Professor G.H. Dorr', 'Marva Munson', 'Gawain MacSam', 'Garth Pancake', 'The General', 'Lump Hudson', 'Mountain Girl', 'Sherriff Wyner', 'Deputy Sheriff', 'Weemack Funthes', 'Fernand Gudge', 'Rosalie Funthes', 'Elron', 'Preacher', 'TV Commercial Director', 'Humane Society Worker', 'Waffle Hut Waitress']",
1398,Max Payne,"Coming together to solve a series of murders in New York City are a DEA agent whose family was slain as part of a conspiracy and an assassin out to avenge her sister's death. The duo will be hunted by the police, the mob, and a ruthless corporation.",United States of America,2008-10-15,Action,"['Max Payne', 'Mona Sax', 'BB Hensley', 'Jim Bravura', 'Jason Colvin', 'Alex Balder', 'Jack Lupino', 'Nicole Horne', 'Natasha', 'Joe Salle', 'Owen Green', 'Lincoln DeNeuf', 'Trevor', 'Michelle Payne', 'Christa Balder', 'Demon', 'Detective Sergeant Amerini']",
1399,In Time,"In the not-too-distant future the aging gene has been switched off. To avoid overpopulation, time has become the currency and the way people pay for luxuries and necessities. The rich can live forever, while the rest try to negotiate for their immortality. A poor young man who comes into a fortune of time, though too late to help his mother from dying. He ends up on the run from a corrupt police force known as 'time keepers'.",United States of America,2011-10-27,Action,"['Will Salas', 'Sylvia Weis', 'Timekeeper Raymond Leon', 'Rachel Salas', 'Fortis', 'Borel', 'Henry Hamilton', 'Philippe Weis', 'Greta', 'Timekeeper Kors', 'Michele Weis', 'Maya', 'Kara', 'Ulysse', 'Nardin', 'Webb', 'Bell', 'Pasha', 'Citizen', 'Sagita', 'Victa', 'Pierre', 'Jasmine', 'Ross', 'Louis', 'Timekeeper Dent']",
1400,The Back-Up Plan,"When Zoe tires of looking for Mr. Right, she decides to have a baby on her own. But on the day she's artificially inseminated, she meets Stan, who seems to be just who she's been searching for all her life. Now, Zoe has to figure out how to make her two life's dreams fit with each other.",United States of America,2010-04-23,Comedy,"['Zoe', 'Stan', 'Olivia', 'Clive', 'Dad', 'Daphne', 'Carol', 'Arthur', 'Lori', 'Nana', 'Mona', 'Babyland Salesgirl', ""Mona's Kid (6 yrs)"", 'Sara', ""Mona's Kid (7 yrs)""]",
1401,Something Borrowed,"Though Rachel (Ginnifer Goodwin) is a successful attorney and a loyal, generous friend, she is still single. After one drink too many at her 30th-birthday celebration, Rachel unexpectedly falls into bed with her longtime crush, Dex -- who happens to be engaged to her best friend, Darcy (Kate Hudson). Ramifications of the liaison threaten to destroy the women's lifelong friendship, while Ethan (John Krasinski), Rachel's confidant, harbors a potentially explosive secret of his own.",United States of America,2011-05-05,Comedy,"['Darcy', 'Rachel', 'Ethan', 'Dex', 'Claire', 'Marcus', 'Bridget Thaler', 'Bridal Consultant', 'June', 'Salesgirl', 'Hamptons Club Girl (uncredited)', 'London Pedestrian (uncredited)', 'Young Darcy (uncredited)']",
1402,Black Knight,"Martin Lawrence plays Jamal, an employee in Medieval World amusement park. After sustaining a blow to the head, he awakens to find himself in 14th century England.",United States of America,2001-11-21,Adventure,"['Jamal Walker / Skywalker', 'Victoria the Chambermaid / Nicole', 'Sir Knolte of Marlborough', ""Percival, Leo's Chief Henchman"", 'Steve', ""Phillip, Leo's Chamberlain"", 'King Leo', 'Derek', ""Mrs. Bostick, 'Medieval World' Owner"", 'Dancer']",
1403,The Bad News Bears,"An aging, down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league.",United States of America,1976-04-07,Comedy,"['Coach Morris Buttermaker', 'Amanda Whurlitzer', 'Councilman Whitewood', 'Coach Roy Turner', 'Ahmad Abdul Rahim', 'Kelly Leak', 'Endelberg', 'Cleveland', 'Jose Agilar', 'Regi Tower', 'Miguel Agilar', 'Ogilvie', 'Rudi Stein', 'Jimmy Feldman', 'Timmy Lupus', 'Toby Whitewood', 'Tanner Boyle']",
1404,Street Fighter,Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.,Japan,1994-12-22,Action,"['Colonel William Guile', 'General M. Bison', 'Chun-Li Zang', 'Ken Masters', 'Cammy White', 'Victor Sagat', 'Ryu Hoshi', 'Dr. Dhalsim', 'Balrog', 'Vega', 'A.N. Official', 'Zangief', 'Dee Jay', 'Carlos Blanka']",
1405,The Pianist,The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.,France,2002-09-24,Drama,"['Wladyslaw Szpilman', 'Captain Wilm Hosenfeld', 'Father', 'Mother', 'Dorota', 'Henryk', 'Regina', 'Halina', 'Jurek', 'SS Slapping Father', 'Mr. Lipa', 'Feather Woman', 'Man Waiting to Cross', 'Street Musician', 'Street Musician', 'Street Musician', 'Schutzpolizei', 'Schutzpolizei', 'Itzak Heller', 'Yehuda', 'Majorek', 'Benek', 'Customer with Coins', 'SS Officer', 'Rubenstein', 'Woman with Soup', 'Schultz', 'SS Shooting the Woman', 'Woman Shot in the Head', 'Wailing Woman', 'Woman with Child', 'Dr. Ehrlich', 'Mr. Grün', 'Boy with Sweets', 'Fellow Worker', 'Janina', 'SS Making a Speech', ""Janina's Husband"", 'Marek Gębczyński', 'Neighbour', ""Dorota's Husband"", 'Szalas', 'Dr. Luczak', 'Lednicki', 'Polish Workman', 'Polish Woman', 'Polish Officer', 'Schutzpolizei', 'Prisoner', 'Girl', 'Other part', 'Other part', 'Other part', 'Other Part', 'Other part', 'Other part', 'Other part', 'Other part', 'Other part', 'Other part', 'Other part', 'Other part', 'Other part', 'Other  part', 'Other part', 'Other Part', 'Other part', 'Man in Ghetto (uncredited)', 'German Soldier - Rummage Bags (uncredited)', 'Young Gestapo (uncredited)', 'Soldier (uncredited)', 'Piano Buyer (uncredited)', 'Jew Working on the Bulding Site (uncredited)', 'SS Officer (uncredited)']",
1406,The Nativity Story,"Mary and Joseph make the hard journey to Bethlehem for a blessed event in this retelling of the Nativity story. This meticulously researched and visually lush adaptation of the biblical tale follows the pair on their arduous path to their arrival in a small village, where they find shelter in a quiet manger and Jesus is born.",United States of America,2006-12-01,Drama,"['Maria', 'Joseph', 'Anna', 'Joachim', 'Herodes der Große', 'Elisabeth', 'Zacharias', 'Der Engel Gabriel', 'Melchior', 'Balthasar', 'Kaspar', 'Herodes Antipas', 'Ruth', 'Tero', 'Marias Freundin', 'Marias Freundin', 'Hoherpriester', 'Benjamin', 'Steuereinnehmer', 'Steuereinnehmer', 'Architekt des Herodes', 'Tante der Elisabeth', 'Cousine der Elisabeth', 'Hebamme', 'Wahrsagerin', 'Straßenprediger', 'Das entführte Mädchen', 'Der Vater des entführten Mädchens', 'Die Mutter des entführten Mädchens', 'Römischer Soldat Steuereinnahme', 'Römischer Wachsoldat', 'Komplizin des Taschendiebs', 'Einwohner von Bethlehem', 'Einwohner von Bethlehem', 'Einwohner von Bethlehem', 'Einwohner von Bethlehem', 'Einwohner von Bethlehem', 'Einwohner von Bethlehem', 'Einwohner von Bethlehem', 'Einwohner von Bethlehem', 'Naomi', 'Taschendieb', 'Strabo']",
1407,House of Wax,A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,United States of America,2005-04-30,Horror,"['Carly Jones', 'Paige Edwards', 'Bo / Vincent', 'Wade', 'Nick Jones', 'Dalton Chapman', 'Blake', 'Young Bo', 'Trudy Sinclair', 'Dr. Victor Sinclair', 'Young Vincent', 'Roadkill Driver', 'Jennifer', 'Sheriff', 'Sexy Girl (uncredited)']",
1408,Closer,"A witty, romantic, and very dangerous love story about chance meetings, instant attractions, and casual betrayals. Two couples disintegrate when they begin destructive adulterous affairs with each other.",United States of America,2004-12-01,Drama,"['Anna Cameron', 'Dan Woolf', 'Alice Ayres', 'Larry Gray', 'Customs Officer', 'Taxi Driver', 'Car driver (uncredited)', 'Chatty Exhibition Guest (uncredited)', 'Customs Officer (uncredited)', 'Coughing Man (uncredited)', 'Bus Passenger (uncredited)', 'Luke (uncredited)', 'Smoking Man (uncredited)', 'Traveler (uncredited)', 'Bartender (uncredited)', 'Bodyguard (uncredited)', 'Bouncer (uncredited)', 'Traveller (uncredited)']",
1409,J. Edgar,"As the face of law enforcement in America for almost 50 years, J. Edgar Hoover was feared and admired, reviled and revered. But behind closed doors, he held secrets that would have destroyed his image, his career and his life.",United States of America,2011-11-09,Drama,"['J. Edgar Hoover', 'Robert Irwin', 'Mitchell Palmer', 'Clyde Tolson', 'Helen Gandy', 'Anna Marie Hoover', 'Dwight Eisenhower', ""Palmer's Daughter"", 'Walter Lyle', 'Agent Smith', 'Emma Goldman', 'Charles Lindbergh', 'Colonel Schwarzkopf', 'Albert Osborne', 'Lela Rogers', ""Edgar's Niece"", 'Anita Colby', ""Roosevelt's Secretary"", 'Shirley Temple']",
1410,Mirrors,An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.,Romania,2008-08-15,Horror,"['Ben Carson', 'Amy Carson', 'Angela Carson', 'Michael Carson', 'Daisy Carson', 'Larry Byrne', 'Jimmy Esseker', 'Terrence Berry', 'Robert Esseker']",
1411,Queen of the Damned,"Lestat de Lioncourt is awakened from his slumber. Bored with his existence he has now become this generations new Rock God. While in the course of time, another has arisen, Akasha, the Queen of the Vampires and the Dammed. He want's immortal fame, his fellow vampires want him eternally dead for his betrayal, and the Queen want's him for her King. Who will be the first to reach him? Who shall win?",Australia,2002-02-10,Drama,"['Lestat de Lioncourt', 'Akasha', 'Jessica ‚Jesse‘ Reeves', 'Marius de Romanus', 'David Talbot', 'Maharet', 'Pandora', 'Khayman', 'Mael', 'Armand', 'Roger', 'Maudy']",
1412,Predator 2,"Ten years after a band of mercenaries first battled a vicious alien, the invisible creature from another world has returned to Earth -- and this time, it's drawn to the gang-ruled and ravaged city of Los Angeles. When it starts murdering drug dealers, detective-lieutenant Mike Harrigan and his police force set out to capture the creature, ignoring warnings from a mysterious government agent to stay away.",United States of America,1990-11-20,Science Fiction,"['The Predator', 'Lieutenant Mike Harrigan', 'Peter Keyes', 'Danny Archuleta', 'Leona Cantrell', 'Jerry Lambert', 'Garber', 'Captain Phil Heinemann', 'Captain B. Pilgrim', 'Tony Pope', 'King Willie', 'Ramon Vega', 'Anna', 'Irene Edwards', 'Gold Tooth', 'El Scorpio', 'Commuter', 'Ruth', 'Charlie', 'Paramedic', 'Subway Gang', 'Subway Gang', 'Subway Gang', 'Federal Team', 'Federal Team', 'Federal Team', 'Cop', 'Officer', 'Reporter', 'Detective', 'Detective', 'Sergeant', 'Colombian Girl', 'Subway Gang Leader', 'Sweet', 'Jerome', 'Brian', ""Leona's Friend""]",
1413,Untraceable,"Special Agent Jennifer Marsh (Diane Lane) works in an elite division of the FBI dedicated to fighting cybercrime. She thinks she has seen it all, until a particularly sadistic criminal arises on the Internet. This tech-savvy killer posts live feeds of his crimes on his website; the more hits the site gets, the faster the victim dies. Marsh and her team must find the elusive killer before time runs out.",United States of America,2008-01-22,Drama,"['Agent Jennifer Marsh', 'Eric Box', 'Griffin Dowd', 'Owen Reilly', 'Stella Marsh', 'Richard Brooks', 'Annie Haskins', 'Herbert Miller', 'David Williams', 'Arthur James Elmer', 'Mrs. Miller', 'Richard Weymouth', 'Trey Restom', 'Tim Wilks', 'Melanie', 'Cop #1', 'Assistant', 'Portland Reporter #2']",
1414,Blast from the Past,"Following a bomb scare in the 1960s that locked the Webers into their bomb shelter for 35 years, Adam now ventures forth into Los Angeles to obtain food and supplies for his family, and a non-mutant wife for himself.",United States of America,1999-02-12,Comedy,"['Adam Webber', 'Eve Rustikoff', 'Calvin Webber', 'Helen Thomas Webber', 'Cliff', 'Troy', 'Soda Jerk', 'Heather', 'Miss Sweet', 'Jerry', 'Betty', 'Hotel Desk Clerk', 'Bob', 'Dr. Aron']",
1415,Flash Gordon,"A football player and his friends travel to the planet Mongo and find themselves fighting the tyrant, Ming the Merciless, to save Earth.",United States of America,1980-09-01,Science Fiction,"['Flash Gordon', 'Dale Arden', 'The Emperor Ming', 'Dr. Hans Zarkov', 'Princess Aura', 'Prince Barin', 'Prince Vultan', 'Klytus', 'Kala', 'Arborian Priest', 'Fico', 'Luro', 'Zogi, the High Priest', 'Serving Girl', 'Munson', 'Young Treeman', ""Ming's Officer"", 'Prince of Ardentia', ""Princess Aura's Pet""]",
1416,Jersey Girl,"Ollie Trinke is a young, suave music publicist who seems to have it all, with a new wife and a baby on the way. But life deals him a bum hand when he's suddenly faced with single fatherhood, a defunct career and having to move in with his father. To bounce back, it takes a new love and the courage instilled in him by his daughter.",United States of America,2004-03-25,Comedy,"['Ollie Trinke', 'Gertie Trinke', 'Maya', 'Gertrude Steiney', 'Bart Trinke', 'Susan', 'Himself', 'Greenie', 'Block', 'Arthur Brickman', 'Tracy Colelli', 'PR Exec #1', 'PR Exec #2', 'Doctor #2']",
1417,Alex Cross,"After Washington DC detective Alex Cross is told that a family member has been murdered, he vows to track down the killer. He soon discovers that she was not his first victim and that things are not what they seem.",United States of America,2012-10-18,Action,"['Dr. Alex Cross', 'Monica Ashe', 'Leon Mercier', 'Picasso', 'Daramus Holiday', 'Tommy Kane', 'Nana Mama', 'Richard Brookwell', 'Vincent Dardis', 'Maria Cross', 'Fan Yau', 'Hans Friedlich']",
1418,Midnight in the Garden of Good and Evil,"A visiting city reporter's assignment suddenly revolves around the murder trial of a local millionaire, whom he befriends.",United States of America,1997-11-21,Crime,"['John Kelso', 'James Williams', 'Billy Carl Hanson', 'Mandy Nichols', 'Sonny Seiler', 'Minerva', 'Joe Odom', 'Chablis Deveau', 'Betty Harty', 'Luther Driggers', 'Detective Boone', 'Bus Driver', 'Geza Von Habsburg', 'Finley Largent', 'Sara Warren', 'Margaret Williams', 'Alpha']",
1419,Heist,"A father is without the means to pay for his daughter's medical treatment. As a last resort, he partners with a greedy co-worker to rob a casino. When things go awry they're forced to hijack a city bus.",United States of America,2015-11-13,Crime,"['Vaughn', 'The Pope', 'Sydney', 'Cox', 'Kris', 'Marconi', 'Bernie', 'Dog', 'Cristal', 'Julie', 'Rebecca', 'Pauline', 'Isabel', 'Lin Tao', 'Captain Michaels', 'Dante (as Stephen Cyrus Sepher)', 'Steve', 'Tom', 'Eric', 'Tagger', 'Virginia', 'Riley', 'Mickey', 'Joseph - Little Boy', 'Captain Jerry', 'Sergeant Thomas Forbes', 'Anchorman', 'Jono', 'Police Dispatcher', 'Doctor', 'Mandy', 'Grant', 'Heather', 'Dave', 'Waitress (as Alexis Sterling)', 'Tim - Sketch Artist', 'Additional Voices (voice)']",
1420,Nanny McPhee and the Big Bang,"Nanny McPhee appears at the door of a harried young mother, Mrs. Isabel Green, who is trying to run the family farm while her husband is away at war. But once she’s arrived, Nanny McPhee discovers that the children are fighting a war of their own against two spoiled city cousins who have just moved in. Relying on everything from a flying motorcycle and a statue that comes to life to a tree-climbing piglet and a baby elephant, Nanny uses her magic to teach her mischievous charges five new lessons.",United States of America,2010-03-26,Comedy,"['Nanny McPhee', 'Norman Green', 'Lord Gray', 'Isabel Green', 'Agatha Rose Doherty', 'Phil Green', 'Blenkinsop', 'Farmer MacReadie', 'Rory Green', 'Cyril Gray', 'Vincent Green', 'Megsie Green', 'Miss Turvey', 'Mis Topsey', 'Mr. Docherty', 'Lieutenant Addis', 'Enemy Pilot']",
1421,Hoffa,"Jack Nicholson's portrait of union leader James R. Hoffa, as seen through the eyes of his friend, Bobby Ciaro (Danny DeVito). The film follows Hoffa through his countless battles with the RTA and President Roosevelt all the way to a conclusion that negates the theory that he disappeared in 1975.",United States of America,1992-12-25,Crime,"[""James R. 'Jimmy' Hoffa"", 'Bobby Ciaro', ""Carol D'Allesandro"", 'Frank Fitzsimmons', 'Pete Connelly', 'Jo Hoffa', 'Reporter', 'Billy Flynn', 'Robert F. Kennedy', 'Young Trucker in Diner', 'Senate Policeman', 'Red Bennett', ""Hoffa's Attorney"", 'Ted Harmon', 'Young Woman at RTA', 'Solly Stein', 'Soignee Woman', 'Loading Foreman', 'Kreger Worker', 'Dock Worker', 'Police Captain', 'Cop', 'Father Doyle', 'Nurse Nun in White', 'Driver with Pistol', 'Organizer', 'Assailant #1', 'Scialla', 'Teamster President', 'Driver with Flat', 'Counterman at Laundry', 'Counterman at Roadhouse', 'RTA Representative', 'Reporter #1', 'Reporter #2', 'Business Negotiator', ""Hoffa's Secretary"", 'Bladesdale', 'Working Man', ""'Joey' Boy at RTA"", ""D'Allesandro's Man"", ""Hoffa's Daughter"", 'Teamster Widow', 'Woman in Cabin', 'Airplane Pilot', 'Airplane Pilot', 'Senate Reporter', 'Castratore', 'Young Reporter', 'Newspaper Secretary', 'State Trooper', 'Copa Thug', 'Woman in Penthouse', 'Government Attorney', ""Ciaro's Secretary"", 'Eliot Cookson', 'Dancer with Cigarette', ""Maitre'd"", 'Party Crasher', 'Bouncer', 'Man in Crowd', 'Bailiff', 'Bartender', 'Prosecutor', 'Bartender', 'Government Agent in Bar', 'Barbara Hoffa', 'Granddaughter', 'Granddaughter', ""Hoffa's Driver"", 'Newsman', 'Young Driver', 'Prison Guard', 'Convict #1', 'Convict #2', 'Official at Hall', 'Airplane Pilot', 'Newsman', ""D'Ally's Financial Advisor"", 'Reporter', 'Young Reporter', 'Committee Chairman', 'Social Club Waiter', 'Teamster', 'Secretary', 'Waiter', 'Corpse', 'Detroit News Reporter', 'Teamster', 'Detroit Cop', 'Reporter', 'Streike Breaker', 'Strike Breaker', 'Dock Worker', 'Nightclub Comic', 'Bakery Worker', 'Teamster', 'Reporter', 'News Reporter', 'Dock Worker', 'Trucker', 'Union Worker', 'Vegas Showgirl', 'Teamster', 'Teamster', 'Las Vegas Dancer']",
1422,The X Files: I Want to Believe,"Six years after the events of The X-Files series finale, former FBI agent Doctor Dana Scully is now a staff physician at Our Lady of Sorrows, a Catholic hospital, and treating a boy named Christian who has Sandhoff disease, a terminal brain condition. FBI agent Drummy arrives to ask Scully’s help in locating Fox Mulder, the fugitive former head of the X-Files division, and says they will call off its manhunt for him if he will help investigate the disappearances of several women, including young FBI agent Monica Banan.  Mulder and Scully are called back to duty by the FBI when a former priest claims to be receiving psychic visions pertaining to a kidnapped agent.",Canada,2008-07-24,Drama,"['Fox Mulder', 'Dana Scully', 'ASAC Dakota Whitney', 'Father Joseph Crissman', 'Agent Mosley Drummy', 'Walter Skinner', '2nd Abductor - Janke Dacyshyn', 'Father Ybarra', 'Gaunt Man', '2nd Victim - Cheryl Cunningham', '1st Abductor - Franz Tomczeszyn', 'Christian Fearon', 'Margaret Fearon', 'Blair Fearon', 'Female Assistant', 'Male Assistant', 'Slight Man', 'Elderly Gent', 'Feed Store Proprietor', 'Monica Bannan', 'On Screen Doctor', 'Suited Man', '1st Cop', 'Special Agent in Charge', ""Doctor's Colleague"", 'Hallway Agent', 'O.R. Nurse', 'Surgeon', 'Sheriff', 'Whispering Priest', 'Anesthesiologist', 'Doctor', 'Sheriff Horton', 'Tow Truck Driver', 'D-Man', 'Man sitting in hospital hallway', 'FBI Agent', 'Female Hallway Agent', 'Board Room Doctor', 'Murder Victim (uncredited)', 'Board Room Doctor (uncredited)', 'Nurse (uncredited)']",
1423,Ella Enchanted,"Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. The path, however, isn't easy -- Ella must outwit a slew of unpleasant obstacles including ogres, giants, wicked stepsisters, elves and Prince Charmont's evil uncle, who wants to take over the crown and rule the kingdom.",Ireland,2004-04-09,Family,"['Ella of Frell', 'Prince ""Char"" Charmont', 'King Edgar', 'Lucinda', 'Dame Olga', 'Benny', 'Heston (voice)', 'Slannen', 'Brumhilda', 'Nish', 'Olive', 'Areida', 'Hattie', 'Mandy', 'Sir Peter', 'Narrator', ""Ella's Mother""]",
1424,Concussion,"A dramatic thriller based on the incredible true David vs. Goliath story of American immigrant Dr. Bennet Omalu, the brilliant forensic neuropathologist who made the first discovery of CTE, a football-related brain trauma, in a pro player and fought for the truth to be known. Omalu's emotional quest puts him at dangerous odds with one of the most powerful institutions in the world.",Australia,2015-11-12,Drama,"['Dr. Bennet Omalu', 'Dr. Julian Bailes', 'Dr. Cyril Wecht', 'Prema Mutiso', 'Mike Webster', 'Dr. Joseph Maroon', 'Daniel Sullivan', 'Dr. Steven DeKosky', 'Christopher Jones', 'Dave Duerson', 'Dr. Ron Hamilton', 'Andre Waters', 'Dr. Elliot Pellman', 'Roger Goodell', 'Justin Strzelczyk', 'Keana Strzelczyk', 'Defense Attorney', 'Gracie', 'FBI Agent', 'FBI Agent', ""Waters' Mother"", 'Mrs. Scott', 'Graveyard Tech', 'Angry Neurologist', 'Hospital Security Guard', 'Assistant', ""Strzelczyk's Daughter"", 'Young Reporter', 'Rachel Green', 'Deputy Mayor', 'Paul Tagliabue', ""Father D'Amico"", 'College Coach', 'High School Coach', 'TV Reporter (Webster Site)', 'TV Reporter (Interview)', 'ER Doctor', 'Tech', 'Tech', 'Colleen Bailes', ""Strzelczyk's Son"", 'Paramedic', 'Contractor', 'Security Guard', 'NFL Employee', 'Piano Player', 'Lodi Morgue Tech', 'Cantor', 'Reporter at Westin', 'Altar Server (uncredited)', 'Crockett (uncredited)', 'Attorney (uncredited)', ""Strzelczyk's Teen Daughter (uncredited)"", 'Business Woman (uncredited)', 'Louisville Football Coach (uncredited)', 'Doctor (uncredited)', 'Doctor (uncredited)', 'NFL Mourner (uncredited)', 'Football Coach (uncredited)', 'Amobi Okoye (uncredited)', 'Corpse (uncredited)', 'Limo Driver - West Palm Beach Florida (uncredited)', 'NFL Football Player (uncredited)', 'Pittsburgh Police Officer (uncredited)', 'Young Webster (uncredited)', 'Mr. Scott (uncredited)', 'NFL Lawyer (uncredited)', 'NFL Lawyer (uncredited)', 'NFL Owner (uncredited)', 'Business Woman (uncredited)', 'NFL Attorney (uncredited)', 'Receptionist (uncredited)']",
1425,Abduction,A young man sets out to uncover the truth about his life after finding his baby photo on a missing persons website.,United States of America,2011-09-22,Thriller,"['Nathan Harper', 'Karen Murphy', 'Frank Burton', 'Kevin Harper', 'Mara Harper', 'Nikola Kozlow', ""Dr. Geraldine 'Geri' Bennett"", 'Martin Price', 'Lorna Price', 'Sandra Burns', 'Alek', 'Gilly', 'Jake', 'Gregory', 'Billy', 'Tom Shealy', 'Mr. Miles', 'Mrs. Murphy', 'Riah', 'CIA Man', 'Thermal', 'Driver', ""Kozlow's Tech"", 'Nurse', 'Red Flannel', 'Cop', 'Girl', 'Sweater', 'Helicopter Pilot', 'Short Sleeves', 'Game Announcer', 'Hot Dog Vendor', 'Woman in ER Waiting Room (uncredited)', 'Teacher (uncredited)']",
1426,Valiant,"The animated comedy tells the story of a lowly wood pigeon named Valiant, who overcomes his small size to become a hero in Great Britain's Royal Air Force Homing Pigeon Service during World War II. The RHPS advanced the Allied cause by flying vital messages about enemy movements across the English Channel, whilst evading brutal attacks by the enemy's Falcon Brigade.",United Kingdom,2005-03-25,Animation,"['Valiant (voice)', 'Bugsy (voice)', 'Von Talon (voice)', 'Sergeant (voice)', 'Gutsy (voice)', 'Mercury (voice)', 'Felix (voice)', 'Lofty (voice)', 'Cufflingk (voice)', 'Victoria (voice)', 'Big Thug (voice)', 'Toughwood (voice)', 'Tailfeather (voice)', 'Underlingk (voice)', 'Charles De Girl']",
1427,Wonder Boys,"Grady (Michael Douglas) is a 50-ish English professor who hasn't had a thing published in years -- not since he wrote his award winning ""Great American Novel"" 7 years ago. This weekend proves even worse than he could imagine as he finds himself reeling from one misadventure to another in the company of a new wonder boy author.",Germany,2000-02-22,Comedy,"['Prof. Grady Tripp', 'James Leer', 'Dean Sara Gaskell', 'Hannah Green', ""Quentin 'Q' Morewood"", 'Terry Crabtree', 'Oola', ""Miss Antonia 'Tony' Sloviak"", 'Walter Gaskell', 'Sam Traxler', ""Emily's Father"", 'Amanda Leer', 'Fred Leer', 'Wordfest Party Guest', 'Student']",
1428,Superhero Movie,"The team behind Scary Movie takes on the comic book genre in this tale of Rick Riker, a nerdy teen imbued with superpowers by a radioactive dragonfly. And because every hero needs a nemesis, enter Lou Landers, aka the villainously goofy Hourglass.",United States of America,2008-03-27,Action,"['Dragonfly', 'Jill Johnson', 'Uncle Albert Adams', 'Lou Landers', 'Dr. Whitby', 'Invisible Girl', 'Trey', 'Aunt Lucille', 'Lance Landers', 'The Chief of Police', 'Dr. Hawking', 'Blaine Riker', 'Julia Riker', 'Young Rick', 'Professor Xavier', 'Dr. Strom']",
1429,Broken City,"In a broken city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure, the mayor. Billy's relentless pursuit of justice, matched only by his streetwise toughness, makes him an unstoppable force - and the mayor's worst nightmare.",United States of America,2013-01-18,Thriller,"['Billy Taggart', 'Nicholas Hostetler', 'Cathleen Hostetler', 'Carl Fairbanks', 'Jack Valliant', 'Katy Bradshaw', 'Natalie Barrow', 'Tony Jansen', 'Paul Andrews', 'Todd Lancaster', 'Sam Lancaster', 'Valerie', 'Secretary', 'Mikey Tavarez', 'Judge', 'Prosecutor', 'Mr. Davies', 'Murdock', 'Ryan Blake', 'Mitch Rappaport', ""Mitch Rapapport's Wife"", 'Reporter at City Hall']",
1430,Cursed,"A werewolf loose in Los Angeles changes the lives of three young adults, who, after being mauled by the beast, learn they must kill their attacker if they hope to change their fate to avoid becoming werewolves too.",Germany,2005-02-25,Horror,"['Zela', 'Ellie', 'Jimmy', 'Bo', 'Joanie', 'Jenny', 'Becky', 'Brooke', 'Jose', 'Earl', 'Louie', 'Jake', 'Werewolf', 'Officer', 'Newscaster', 'Zipper']",
1431,Premium Rush,"In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city.",United States of America,2012-08-24,Crime,"['Wilee', 'Bobby Monday', 'Vanessa', 'Mima', 'Manny', 'Raj', 'Bike Cop', 'Office Worker', 'Kyle', 'Phoebe']",
